"tournament_id","round","home","away","winner","loser"
1936,"Final","Rafael Castillo","Noah Fischer","Noah Fischer","Rafael Castillo"
1937,"Round_of_16","Rafael Castillo","Samuel Flores","Rafael Castillo","Samuel Flores"
1937,"Round_of_16","Jackson Davis","Noah Fischer","Jackson Davis","Noah Fischer"
1937,"Round_of_16","Luis Perez","Juma Sow","Luis Perez","Juma Sow"
1937,"Round_of_16","Mateo Diaz","Malik Obi","Mateo Diaz","Malik Obi"
1937,"Round_of_16","Aiden Nguyen","Kazuki Yamamoto","Kazuki Yamamoto","Aiden Nguyen"
1937,"Round_of_16","Li Wei","Max Williams","Max Williams","Li Wei"
1937,"Round_of_16","Miguel Sansiro","Liam Janssen","Miguel Sansiro","Liam Janssen"
1937,"Round_of_16","Robin Wright","Jennifer Maldini","Robin Wright","Jennifer Maldini"
1937,"Quarterfinal","Rafael Castillo","Jackson Davis","Rafael Castillo","Jackson Davis"
1937,"Quarterfinal","Luis Perez","Mateo Diaz","Luis Perez","Mateo Diaz"
1937,"Quarterfinal","Kazuki Yamamoto","Max Williams","Kazuki Yamamoto","Max Williams"
1937,"Quarterfinal","Miguel Sansiro","Robin Wright","Robin Wright","Miguel Sansiro"
1937,"Semifinal","Kazuki Yamamoto","Robin Wright","Robin Wright","Kazuki Yamamoto"
1937,"Semifinal","Rafael Castillo","Luis Perez","Rafael Castillo","Luis Perez"
1937,"Final","Rafael Castillo","Robin Wright","Rafael Castillo","Robin Wright"
1938,"Round_of_16","Rafael Castillo","Jackson Davis","Rafael Castillo","Jackson Davis"
1938,"Round_of_16","Luis Perez","Robin Wright","Robin Wright","Luis Perez"
1938,"Round_of_16","Kazuki Yamamoto","Max Williams","Max Williams","Kazuki Yamamoto"
1938,"Round_of_16","Liam Janssen","Samuel Flores","Liam Janssen","Samuel Flores"
1938,"Round_of_16","Juma Sow","Aiden Nguyen","Juma Sow","Aiden Nguyen"
1938,"Round_of_16","Li Wei","Mateo Diaz","Mateo Diaz","Li Wei"
1938,"Round_of_16","Jennifer Maldini","Miguel Sansiro","Jennifer Maldini","Miguel Sansiro"
1938,"Round_of_16","Malik Obi","Noah Fischer","Malik Obi","Noah Fischer"
1938,"Quarterfinal","Rafael Castillo","Robin Wright","Rafael Castillo","Robin Wright"
1930,"Round_of_16","Li Wei","Samuel Flores","Li Wei","Samuel Flores"
1938,"Quarterfinal","Max Williams","Liam Janssen","Liam Janssen","Max Williams"
1938,"Quarterfinal","Juma Sow","Mateo Diaz","Mateo Diaz","Juma Sow"
1938,"Quarterfinal","Jennifer Maldini","Malik Obi","Malik Obi","Jennifer Maldini"
1938,"Semifinal","Rafael Castillo","Liam Janssen","Rafael Castillo","Liam Janssen"
1938,"Semifinal","Mateo Diaz","Malik Obi","Mateo Diaz","Malik Obi"
1938,"Final","Rafael Castillo","Mateo Diaz","Rafael Castillo","Mateo Diaz"
1939,"Round_of_16","Robin Wright","Mateo Diaz","Robin Wright","Mateo Diaz"
1939,"Round_of_16","Rafael Castillo","Juma Sow","Rafael Castillo","Juma Sow"
1939,"Round_of_16","Samuel Flores","Jennifer Maldini","Jennifer Maldini","Samuel Flores"
1939,"Round_of_16","Aiden Nguyen","Li Wei","Aiden Nguyen","Li Wei"
1939,"Round_of_16","Liam Janssen","Kazuki Yamamoto","Kazuki Yamamoto","Liam Janssen"
1939,"Round_of_16","Jackson Davis","Max Williams","Jackson Davis","Max Williams"
1939,"Round_of_16","Malik Obi","Luis Perez","Luis Perez","Malik Obi"
1939,"Round_of_16","Miguel Sansiro","Noah Fischer","Miguel Sansiro","Noah Fischer"
1939,"Quarterfinal","Robin Wright","Rafael Castillo","Robin Wright","Rafael Castillo"
1939,"Quarterfinal","Jennifer Maldini","Aiden Nguyen","Jennifer Maldini","Aiden Nguyen"
1939,"Quarterfinal","Kazuki Yamamoto","Jackson Davis","Jackson Davis","Kazuki Yamamoto"
1939,"Quarterfinal","Luis Perez","Miguel Sansiro","Luis Perez","Miguel Sansiro"
1939,"Semifinal","Robin Wright","Jennifer Maldini","Robin Wright","Jennifer Maldini"
1939,"Semifinal","Jackson Davis","Luis Perez","Jackson Davis","Luis Perez"
1939,"Final","Robin Wright","Jackson Davis","Jackson Davis","Robin Wright"
1940,"Round_of_16","Rafael Castillo","Jennifer Maldini","Jennifer Maldini","Rafael Castillo"
1940,"Round_of_16","Robin Wright","Kazuki Yamamoto","Robin Wright","Kazuki Yamamoto"
1940,"Round_of_16","Jackson Davis","Aiden Nguyen","Jackson Davis","Aiden Nguyen"
1940,"Round_of_16","Luis Perez","Miguel Sansiro","Miguel Sansiro","Luis Perez"
1940,"Round_of_16","Juma Sow","Mateo Diaz","Juma Sow","Mateo Diaz"
1940,"Round_of_16","Samuel Flores","Liam Janssen","Samuel Flores","Liam Janssen"
1940,"Round_of_16","Li Wei","Malik Obi","Li Wei","Malik Obi"
1940,"Round_of_16","Max Williams","Noah Fischer","Max Williams","Noah Fischer"
1940,"Quarterfinal","Jennifer Maldini","Robin Wright","Jennifer Maldini","Robin Wright"
1940,"Quarterfinal","Jackson Davis","Miguel Sansiro","Jackson Davis","Miguel Sansiro"
1940,"Quarterfinal","Juma Sow","Samuel Flores","Samuel Flores","Juma Sow"
1940,"Quarterfinal","Li Wei","Max Williams","Max Williams","Li Wei"
1940,"Semifinal","Jennifer Maldini","Jackson Davis","Jackson Davis","Jennifer Maldini"
1940,"Semifinal","Samuel Flores","Max Williams","Samuel Flores","Max Williams"
1940,"Final","Jackson Davis","Samuel Flores","Jackson Davis","Samuel Flores"
1941,"Round_of_16","Jennifer Maldini","Samuel Flores","Samuel Flores","Jennifer Maldini"
1941,"Round_of_16","Robin Wright","Jackson Davis","Jackson Davis","Robin Wright"
1941,"Round_of_16","Max Williams","Miguel Sansiro","Miguel Sansiro","Max Williams"
1941,"Round_of_16","Juma Sow","Kazuki Yamamoto","Juma Sow","Kazuki Yamamoto"
1941,"Round_of_16","Rafael Castillo","Li Wei","Li Wei","Rafael Castillo"
1941,"Round_of_16","Aiden Nguyen","Malik Obi","Aiden Nguyen","Malik Obi"
1941,"Round_of_16","Liam Janssen","Mateo Diaz","Liam Janssen","Mateo Diaz"
1941,"Round_of_16","Luis Perez","Noah Fischer","Luis Perez","Noah Fischer"
1941,"Quarterfinal","Samuel Flores","Jackson Davis","Jackson Davis","Samuel Flores"
1941,"Quarterfinal","Miguel Sansiro","Juma Sow","Juma Sow","Miguel Sansiro"
1941,"Quarterfinal","Li Wei","Aiden Nguyen","Li Wei","Aiden Nguyen"
1941,"Quarterfinal","Liam Janssen","Luis Perez","Luis Perez","Liam Janssen"
1941,"Semifinal","Jackson Davis","Juma Sow","Jackson Davis","Juma Sow"
1941,"Semifinal","Li Wei","Luis Perez","Li Wei","Luis Perez"
1941,"Final","Jackson Davis","Li Wei","Li Wei","Jackson Davis"
1942,"Round_of_16","Samuel Flores","Liam Janssen","Samuel Flores","Liam Janssen"
1942,"Round_of_16","Rafael Castillo","Aiden Nguyen","Rafael Castillo","Aiden Nguyen"
1942,"Round_of_16","Juma Sow","Jennifer Maldini","Jennifer Maldini","Juma Sow"
1942,"Round_of_16","Luis Perez","Mateo Diaz","Mateo Diaz","Luis Perez"
1942,"Round_of_16","Jackson Davis","Kazuki Yamamoto","Jackson Davis","Kazuki Yamamoto"
1942,"Round_of_16","Li Wei","Robin Wright","Robin Wright","Li Wei"
1942,"Round_of_16","Max Williams","Miguel Sansiro","Max Williams","Miguel Sansiro"
1942,"Round_of_16","Malik Obi","Noah Fischer","Malik Obi","Noah Fischer"
1942,"Quarterfinal","Samuel Flores","Rafael Castillo","Rafael Castillo","Samuel Flores"
1942,"Quarterfinal","Jennifer Maldini","Mateo Diaz","Mateo Diaz","Jennifer Maldini"
1942,"Quarterfinal","Jackson Davis","Robin Wright","Jackson Davis","Robin Wright"
1942,"Quarterfinal","Max Williams","Malik Obi","Malik Obi","Max Williams"
1942,"Semifinal","Rafael Castillo","Mateo Diaz","Rafael Castillo","Mateo Diaz"
1942,"Semifinal","Jackson Davis","Malik Obi","Jackson Davis","Malik Obi"
1942,"Final","Rafael Castillo","Jackson Davis","Rafael Castillo","Jackson Davis"
1943,"Round_of_16","Samuel Flores","Jackson Davis","Samuel Flores","Jackson Davis"
1943,"Round_of_16","Juma Sow","Li Wei","Li Wei","Juma Sow"
1943,"Round_of_16","Aiden Nguyen","Luis Perez","Luis Perez","Aiden Nguyen"
1943,"Round_of_16","Liam Janssen","Miguel Sansiro","Liam Janssen","Miguel Sansiro"
1943,"Round_of_16","Jennifer Maldini","Robin Wright","Jennifer Maldini","Robin Wright"
1943,"Round_of_16","Rafael Castillo","Max Williams","Rafael Castillo","Max Williams"
1943,"Round_of_16","Mateo Diaz","Kazuki Yamamoto","Mateo Diaz","Kazuki Yamamoto"
1943,"Round_of_16","Malik Obi","Noah Fischer","Malik Obi","Noah Fischer"
1943,"Quarterfinal","Samuel Flores","Li Wei","Samuel Flores","Li Wei"
1943,"Quarterfinal","Luis Perez","Liam Janssen","Liam Janssen","Luis Perez"
1943,"Quarterfinal","Rafael Castillo","Jennifer Maldini","Rafael Castillo","Jennifer Maldini"
1943,"Quarterfinal","Mateo Diaz","Malik Obi","Malik Obi","Mateo Diaz"
1943,"Semifinal","Samuel Flores","Liam Janssen","Samuel Flores","Liam Janssen"
1943,"Semifinal","Rafael Castillo","Malik Obi","Rafael Castillo","Malik Obi"
1943,"Final","Samuel Flores","Rafael Castillo","Samuel Flores","Rafael Castillo"
1944,"Round_of_16","Rafael Castillo","Jackson Davis","Rafael Castillo","Jackson Davis"
1944,"Round_of_16","Samuel Flores","Jennifer Maldini","Samuel Flores","Jennifer Maldini"
1944,"Round_of_16","Liam Janssen","Juma Sow","Liam Janssen","Juma Sow"
1944,"Round_of_16","Aiden Nguyen","Li Wei","Li Wei","Aiden Nguyen"
1944,"Round_of_16","Kazuki Yamamoto","Robin Wright","Robin Wright","Kazuki Yamamoto"
1944,"Round_of_16","Max Williams","Luis Perez","Max Williams","Luis Perez"
1944,"Round_of_16","Miguel Sansiro","Noah Fischer","Miguel Sansiro","Noah Fischer"
1944,"Quarterfinal","Rafael Castillo","Samuel Flores","Samuel Flores","Rafael Castillo"
1944,"Quarterfinal","Malik Obi","Liam Janssen","Liam Janssen","Malik Obi"
1944,"Quarterfinal","Li Wei","Robin Wright","Li Wei","Robin Wright"
1944,"Quarterfinal","Max Williams","Miguel Sansiro","Miguel Sansiro","Max Williams"
1944,"Semifinal","Samuel Flores","Liam Janssen","Samuel Flores","Liam Janssen"
1944,"Semifinal","Li Wei","Miguel Sansiro","Li Wei","Miguel Sansiro"
1944,"Final","Samuel Flores","Li Wei","Li Wei","Samuel Flores"
1945,"Round_of_16","Rafael Castillo","Samuel Flores","Rafael Castillo","Samuel Flores"
1945,"Round_of_16","Liam Janssen","Juma Sow","Liam Janssen","Juma Sow"
1945,"Round_of_16","Malik Obi","Robin Wright","Robin Wright","Malik Obi"
1945,"Round_of_16","Max Williams","Miguel Sansiro","Miguel Sansiro","Max Williams"
1945,"Round_of_16","Jennifer Maldini","Juma Sow","Jennifer Maldini","Juma Sow"
1945,"Round_of_16","Mateo Diaz","Jackson Davis","Mateo Diaz","Jackson Davis"
1945,"Round_of_16","Aiden Nguyen","Kazuki Yamamoto","Aiden Nguyen","Kazuki Yamamoto"
1945,"Round_of_16","Luis Perez","Noah Fischer","Luis Perez","Noah Fischer"
1945,"Quarterfinal","Rafael Castillo","Liam Janssen","Rafael Castillo","Liam Janssen"
1945,"Quarterfinal","Robin Wright","Miguel Sansiro","Robin Wright","Miguel Sansiro"
1945,"Quarterfinal","Jennifer Maldini","Mateo Diaz","Jennifer Maldini","Mateo Diaz"
1945,"Quarterfinal","Aiden Nguyen","Luis Perez","Luis Perez","Aiden Nguyen"
1945,"Semifinal","Rafael Castillo","Robin Wright","Rafael Castillo","Robin Wright"
1945,"Semifinal","Jennifer Maldini","Luis Perez","Jennifer Maldini","Luis Perez"
1945,"Final","Rafael Castillo","Jennifer Maldini","Rafael Castillo","Jennifer Maldini"
1946,"Round_of_16","Rafael Castillo","Liam Janssen","Rafael Castillo","Liam Janssen"
1946,"Round_of_16","Robin Wright","Aiden Nguyen","Aiden Nguyen","Robin Wright"
1946,"Round_of_16","Luis Perez","Miguel Sansiro","Miguel Sansiro","Luis Perez"
1946,"Round_of_16","Jennifer Maldini","Mateo Diaz","Mateo Diaz","Jennifer Maldini"
1946,"Round_of_16","Samuel Flores","Juma Sow","Samuel Flores","Juma Sow"
1946,"Round_of_16","Jackson Davis","Malik Obi","Jackson Davis","Malik Obi"
1946,"Round_of_16","Max Williams","Li Wei","Max Williams","Li Wei"
1946,"Round_of_16","Kazuki Yamamoto","Noah Fischer","Kazuki Yamamoto","Noah Fischer"
1946,"Quarterfinal","Miguel Sansiro","Mateo Diaz","Miguel Sansiro","Mateo Diaz"
1946,"Quarterfinal","Samuel Flores","Jackson Davis","Samuel Flores","Jackson Davis"
1946,"Quarterfinal","Max Williams","Kazuki Yamamoto","Kazuki Yamamoto","Max Williams"
1946,"Semifinal","Rafael Castillo","Miguel Sansiro","Rafael Castillo","Miguel Sansiro"
1946,"Final","Rafael Castillo","Kazuki Yamamoto","Rafael Castillo","Kazuki Yamamoto"
1947,"Round_of_16","Rafael Castillo","Robin Wright","Rafael Castillo","Robin Wright"
1947,"Round_of_16","Aiden Nguyen","Luis Perez","Aiden Nguyen","Luis Perez"
1947,"Round_of_16","Miguel Sansiro","Jennifer Maldini","Jennifer Maldini","Miguel Sansiro"
1947,"Round_of_16","Mateo Diaz","Samuel Flores","Samuel Flores","Mateo Diaz"
1947,"Round_of_16","Liam Janssen","Jackson Davis","Liam Janssen","Jackson Davis"
1947,"Round_of_16","Max Williams","Kazuki Yamamoto","Kazuki Yamamoto","Max Williams"
1947,"Round_of_16","Juma Sow","Li Wei","Juma Sow","Li Wei"
1947,"Round_of_16","Malik Obi","Noah Fischer","Noah Fischer","Malik Obi"
1947,"Quarterfinal","Rafael Castillo","Aiden Nguyen","Rafael Castillo","Aiden Nguyen"
1947,"Quarterfinal","Jennifer Maldini","Samuel Flores","Samuel Flores","Jennifer Maldini"
1947,"Quarterfinal","Liam Janssen","Kazuki Yamamoto","Liam Janssen","Kazuki Yamamoto"
1947,"Quarterfinal","Juma Sow","Noah Fischer","Noah Fischer","Juma Sow"
1947,"Semifinal","Rafael Castillo","Samuel Flores","Samuel Flores","Rafael Castillo"
1947,"Semifinal","Liam Janssen","Noah Fischer","Noah Fischer","Liam Janssen"
1947,"Final","Samuel Flores","Noah Fischer","Samuel Flores","Noah Fischer"
1948,"Round_of_16","Rafael Castillo","Jennifer Maldini","Rafael Castillo","Jennifer Maldini"
1948,"Round_of_16","Kazuki Yamamoto","Robin Wright","Robin Wright","Kazuki Yamamoto"
1948,"Round_of_16","Samuel Flores","Liam Janssen","Liam Janssen","Samuel Flores"
1948,"Round_of_16","Malik Obi","Aiden Nguyen","Malik Obi","Aiden Nguyen"
1948,"Round_of_16","Juma Sow","Miguel Sansiro","Juma Sow","Miguel Sansiro"
1948,"Round_of_16","Luis Perez","Mateo Diaz","Luis Perez","Mateo Diaz"
1948,"Round_of_16","Jackson Davis","Max Williams","Max Williams","Jackson Davis"
1948,"Round_of_16","Li Wei","Noah Fischer","Li Wei","Noah Fischer"
1948,"Quarterfinal","Rafael Castillo","Robin Wright","Robin Wright","Rafael Castillo"
1948,"Quarterfinal","Liam Janssen","Malik Obi","Liam Janssen","Malik Obi"
1948,"Quarterfinal","Juma Sow","Luis Perez","Juma Sow","Luis Perez"
1948,"Semifinal","Robin Wright","Liam Janssen","Liam Janssen","Robin Wright"
1948,"Semifinal","Juma Sow","Li Wei","Juma Sow","Li Wei"
1948,"Final","Liam Janssen","Juma Sow","Liam Janssen","Juma Sow"
1949,"Round_of_16","Rafael Castillo","Juma Sow","Rafael Castillo","Juma Sow"
1949,"Round_of_16","Kazuki Yamamoto","Robin Wright","Robin Wright","Kazuki Yamamoto"
1949,"Round_of_16","Samuel Flores","Malik Obi","Samuel Flores","Malik Obi"
1949,"Round_of_16","Aiden Nguyen","Liam Janssen","Aiden Nguyen","Liam Janssen"
1949,"Round_of_16","Jennifer Maldini","Li Wei","Li Wei","Jennifer Maldini"
1949,"Round_of_16","Luis Perez","Max Williams","Max Williams","Luis Perez"
1949,"Round_of_16","Miguel Sansiro","Jackson Davis","Jackson Davis","Miguel Sansiro"
1949,"Round_of_16","Mateo Diaz","Noah Fischer","Mateo Diaz","Noah Fischer"
1949,"Quarterfinal","Rafael Castillo","Robin Wright","Rafael Castillo","Robin Wright"
1949,"Quarterfinal","Samuel Flores","Aiden Nguyen","Aiden Nguyen","Samuel Flores"
1949,"Quarterfinal","Li Wei","Max Williams","Max Williams","Li Wei"
1949,"Quarterfinal","Jackson Davis","Mateo Diaz","Jackson Davis","Mateo Diaz"
1949,"Semifinal","Rafael Castillo","Aiden Nguyen","Rafael Castillo","Aiden Nguyen"
1949,"Semifinal","Max Williams","Jackson Davis","Jackson Davis","Max Williams"
1949,"Final","Rafael Castillo","Jackson Davis","Jackson Davis","Rafael Castillo"
1950,"Round_of_16","Rafael Castillo","Aiden Nguyen","Rafael Castillo","Aiden Nguyen"
1950,"Round_of_16","Robin Wright","Samuel Flores","Samuel Flores","Robin Wright"
1950,"Round_of_16","Liam Janssen","Li Wei","Li Wei","Liam Janssen"
1950,"Round_of_16","Miguel Sansiro","Jackson Davis","Jackson Davis","Miguel Sansiro"
1950,"Round_of_16","Juma Sow","Mateo Diaz","Juma Sow","Mateo Diaz"
1950,"Round_of_16","Kazuki Yamamoto","Luis Perez","Luis Perez","Kazuki Yamamoto"
1950,"Round_of_16","Jennifer Maldini","Miguel Sansiro","Miguel Sansiro","Jennifer Maldini"
1950,"Round_of_16","Malik Obi","Noah Fischer","Noah Fischer","Malik Obi"
1950,"Quarterfinal","Rafael Castillo","Samuel Flores","Samuel Flores","Rafael Castillo"
1950,"Quarterfinal","Li Wei","Jackson Davis","Jackson Davis","Li Wei"
1950,"Quarterfinal","Juma Sow","Luis Perez","Juma Sow","Luis Perez"
1950,"Quarterfinal","Miguel Sansiro","Noah Fischer","Noah Fischer","Miguel Sansiro"
1950,"Semifinal","Samuel Flores","Jackson Davis","Jackson Davis","Samuel Flores"
1948,"Quarterfinal","Max Williams","Li Wei","Li Wei","Max Williams"
1950,"Semifinal","Juma Sow","Noah Fischer","Juma Sow","Noah Fischer"
1950,"Final","Jackson Davis","Juma Sow","Juma Sow","Jackson Davis"
1951,"Round_of_16","Aiden Nguyen","Samuel Flores","Aiden Nguyen","Samuel Flores"
1951,"Round_of_16","Li Wei","Robin Wright","Robin Wright","Li Wei"
1951,"Round_of_16","Juma Sow","Liam Janssen","Juma Sow","Liam Janssen"
1951,"Round_of_16","Jackson Davis","Rafael Castillo","Jackson Davis","Malik Obi"
1951,"Round_of_16","Kazuki Yamamoto","Luis Perez","Luis Perez","Kazuki Yamamoto"
1951,"Round_of_16","Jennifer Maldini","Miguel Sansiro","Jennifer Maldini","Miguel Sansiro"
1951,"Round_of_16","Noah Fischer","Mateo Diaz","Noah Fischer","Mateo Diaz"
1951,"Round_of_16","Malik Obi","Max Williams","Max Williams","Malik Obi"
1951,"Quarterfinal","Aiden Nguyen","Robin Wright","Robin Wright","Aiden Nguyen"
1951,"Quarterfinal","Juma Sow","Jackson Davis","Juma Sow","Jackson Davis"
1951,"Quarterfinal","Luis Perez","Jennifer Maldini","Jennifer Maldini","Luis Perez"
1951,"Quarterfinal","Noah Fischer","Max Williams","Noah Fischer","Max Williams"
1951,"Semifinal","Robin Wright","Juma Sow","Juma Sow","Robin Wright"
1951,"Semifinal","Jennifer Maldini","Noah Fischer","Jennifer Maldini","Noah Fischer"
1951,"Final","Juma Sow","Jennifer Maldini","Juma Sow","Jennifer Maldini"
1952,"Round_of_16","Juma Sow","Jennifer Maldini","Juma Sow","Jennifer Maldini"
1952,"Round_of_16","Samuel Flores","Robin Wright","Robin Wright","Samuel Flores"
1952,"Round_of_16","Aiden Nguyen","Liam Janssen","Aiden Nguyen","Liam Janssen"
1952,"Round_of_16","Rafael Castillo","Li Wei","Rafael Castillo","Li Wei"
1952,"Round_of_16","Luis Perez","Kazuki Yamamoto","Kazuki Yamamoto","Luis Perez"
1952,"Round_of_16","Jackson Davis","Noah Fischer","Jackson Davis","Noah Fischer"
1952,"Round_of_16","Max Williams","Mateo Diaz","Mateo Diaz","Max Williams"
1952,"Round_of_16","Miguel Sansiro","Malik Obi","Miguel Sansiro","Malik Obi"
1952,"Quarterfinal","Juma Sow","Robin Wright","Juma Sow","Robin Wright"
1952,"Quarterfinal","Aiden Nguyen","Rafael Castillo","Rafael Castillo","Aiden Nguyen"
1952,"Quarterfinal","Kazuki Yamamoto","Jackson Davis","Jackson Davis","Kazuki Yamamoto"
1952,"Quarterfinal","Mateo Diaz","Miguel Sansiro","Miguel Sansiro","Mateo Diaz"
1952,"Semifinal","Juma Sow","Rafael Castillo","Rafael Castillo","Juma Sow"
1952,"Semifinal","Jackson Davis","Miguel Sansiro","Miguel Sansiro","Jackson Davis"
1952,"Final","Rafael Castillo","Miguel Sansiro","Miguel Sansiro","Rafael Castillo"
1953,"Round_of_16","Aiden Nguyen","Jennifer Maldini","Jennifer Maldini","Aiden Nguyen"
1953,"Round_of_16","Miguel Sansiro","Robin Wright","Miguel Sansiro","Robin Wright"
1953,"Round_of_16","Juma Sow","Rafael Castillo","Rafael Castillo","Juma Sow"
1953,"Round_of_16","Samuel Flores","Kazuki Yamamoto","Kazuki Yamamoto","Samuel Flores"
1953,"Round_of_16","Jackson Davis","Luis Perez","Luis Perez","Jackson Davis"
1953,"Round_of_16","Noah Fischer","Li Wei","Li Wei","Noah Fischer"
1953,"Round_of_16","Max Williams","Mateo Diaz","Max Williams","Mateo Diaz"
1953,"Round_of_16","Malik Obi","Liam Janssen","Liam Janssen","Malik Obi"
1953,"Quarterfinal","Jennifer Maldini","Miguel Sansiro","Miguel Sansiro","Jennifer Maldini"
1953,"Quarterfinal","Rafael Castillo","Kazuki Yamamoto","Kazuki Yamamoto","Rafael Castillo"
1953,"Quarterfinal","Luis Perez","Li Wei","Luis Perez","Li Wei"
1953,"Quarterfinal","Max Williams","Liam Janssen","Max Williams","Liam Janssen"
1953,"Semifinal","Miguel Sansiro","Kazuki Yamamoto","Kazuki Yamamoto","Miguel Sansiro"
1953,"Semifinal","Luis Perez","Max Williams","Luis Perez","Max Williams"
1953,"Final","Kazuki Yamamoto","Luis Perez","Kazuki Yamamoto","Luis Perez"
1954,"Round_of_16","Rafael Castillo","Aiden Nguyen","Aiden Nguyen","Rafael Castillo"
1954,"Round_of_16","Jennifer Maldini","Robin Wright","Robin Wright","Jennifer Maldini"
1954,"Round_of_16","Juma Sow","Samuel Flores","Juma Sow","Samuel Flores"
1954,"Round_of_16","Kazuki Yamamoto","Jackson Davis","Kazuki Yamamoto","Jackson Davis"
1954,"Round_of_16","Luis Perez","Li Wei","Luis Perez","Li Wei"
1954,"Round_of_16","Liam Janssen","Mateo Diaz","Liam Janssen","Mateo Diaz"
1954,"Round_of_16","Max Williams","Miguel Sansiro","Max Williams","Miguel Sansiro"
1954,"Round_of_16","Malik Obi","Noah Fischer","Noah Fischer","Malik Obi"
1954,"Quarterfinal","Aiden Nguyen","Robin Wright","Aiden Nguyen","Robin Wright"
1954,"Quarterfinal","Juma Sow","Kazuki Yamamoto","Kazuki Yamamoto","Juma Sow"
1954,"Quarterfinal","Luis Perez","Liam Janssen","Luis Perez","Liam Janssen"
1954,"Quarterfinal","Max Williams","Noah Fischer","Max Williams","Noah Fischer"
1954,"Semifinal","Aiden Nguyen","Kazuki Yamamoto","Aiden Nguyen","Kazuki Yamamoto"
1954,"Semifinal","Luis Perez","Max Williams","Luis Perez","Max Williams"
1954,"Final","Aiden Nguyen","Luis Perez","Luis Perez","Aiden Nguyen"
1955,"Round_of_16","Aiden Nguyen","Jennifer Maldini","Jennifer Maldini","Aiden Nguyen"
1955,"Round_of_16","Robin Wright","Juma Sow","Robin Wright","Juma Sow"
